"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2021","358.63","356.98","359.01","356.74","","0.38%"
"07/15/2021","357.26","358.95","359.25","356.13","","-0.53%"
"07/14/2021","359.18","360.69","361.70","358.70","","-0.52%"
"07/13/2021","361.04","360.97","361.73","359.79","","0.83%"
"07/12/2021","358.08","358.50","359.38","356.22","","0.69%"
"07/09/2021","355.64","350.93","356.34","350.74","","1.05%"
"07/08/2021","351.96","356.07","356.96","351.41","","-1.25%"
"07/07/2021","356.42","361.55","361.55","355.70","","-2.01%"
"07/06/2021","363.74","357.65","364.15","357.65","","1.96%"
"07/05/2021","356.76","355.39","356.78","355.39","","0.29%"
"07/02/2021","355.72","357.01","357.25","354.95","","0.14%"
"07/01/2021","355.23","357.16","357.81","355.08","","-0.15%"
"06/30/2021","355.78","352.57","357.83","351.87","","1.35%"
"06/29/2021","351.04","355.01","355.01","350.76","","-1.36%"
"06/28/2021","355.89","356.69","356.84","355.37","","0.28%"
"06/25/2021","354.88","355.14","356.48","353.94","","0.12%"
"06/24/2021","354.47","354.06","355.56","353.78","","0.15%"
"06/23/2021","353.93","354.05","356.18","352.78","","0.23%"
"06/22/2021","353.11","354.85","355.66","352.50","","-0.26%"
"06/21/2021","354.04","353.18","354.56","351.42","","-0.70%"
"06/18/2021","356.55","355.91","356.98","355.40","","-0.10%"
"06/17/2021","356.90","355.59","358.22","354.98","","-0.14%"
"06/16/2021","357.41","361.56","361.63","357.26","","-1.19%"
"06/15/2021","361.73","359.76","362.57","359.49","","0.82%"
"06/14/2021","358.79","358.80","359.51","358.34","","-0.20%"
"06/11/2021","359.51","360.84","361.14","359.04","","-0.11%"
"06/10/2021","359.92","358.96","361.02","358.67","","0.37%"
"06/09/2021","358.61","360.27","360.27","358.43","","-0.45%"
"06/08/2021","360.22","361.23","361.60","358.64","","-0.19%"
"06/07/2021","360.91","360.16","361.37","359.67","","0.94%"
"06/04/2021","357.55","357.42","359.83","357.05","","-0.39%"
"06/03/2021","358.96","359.96","360.84","358.65","","0.02%"
"06/02/2021","358.89","361.56","361.67","357.85","","-0.94%"
"06/01/2021","362.28","360.47","362.42","358.76","","0.96%"
"05/31/2021","358.84","361.57","362.40","357.68","","-0.55%"
"05/28/2021","360.82","361.71","362.74","360.78","","0.46%"
"05/27/2021","359.15","356.44","359.89","355.95","","0.50%"
"05/25/2021","357.38","355.53","357.70","355.53","","0.83%"
"05/24/2021","354.43","355.01","355.91","353.97","","0.36%"
"05/21/2021","353.17","354.13","354.56","351.71","","0.38%"
