"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2016","2,082.80","2,082.90","2,087.80","2,078.10","","0.02%"
"04/13/2016","2,082.40","2,065.90","2,083.20","2,065.90","","1.00%"
"04/12/2016","2,061.70","2,043.70","2,065.10","2,039.70","","0.96%"
"04/11/2016","2,042.00","2,050.20","2,062.90","2,041.90","","-0.27%"
"04/08/2016","2,047.60","2,045.50","2,060.60","2,041.70","","0.28%"
"04/07/2016","2,041.90","2,063.00","2,063.00","2,033.80","","-1.20%"
"04/06/2016","2,066.70","2,045.60","2,067.30","2,043.10","","1.05%"
"04/05/2016","2,045.20","2,062.50","2,062.50","2,042.60","","-1.01%"
"04/04/2016","2,066.10","2,073.20","2,074.00","2,062.60","","-0.32%"
"04/01/2016","2,072.80","2,056.60","2,075.10","2,044.00","","0.64%"
"03/31/2016","2,059.70","2,063.80","2,067.90","2,057.50","","-0.20%"
"03/30/2016","2,063.90","2,058.30","2,072.20","2,058.30","","0.43%"
"03/29/2016","2,055.00","2,035.80","2,055.90","2,028.30","","0.88%"
"03/28/2016","2,037.00","2,037.90","2,042.70","2,032.00","","0.05%"
"03/24/2016","2,035.90","2,032.50","2,036.00","2,022.50","","-0.04%"
"03/23/2016","2,036.70","2,048.60","2,048.60","2,034.90","","-0.64%"
"03/22/2016","2,049.80","2,048.60","2,056.60","2,040.60","","-0.09%"
"03/21/2016","2,051.60","2,047.90","2,053.90","2,043.10","","0.10%"
"03/18/2016","2,049.60","2,041.20","2,052.40","2,041.20","","0.44%"
"03/17/2016","2,040.60","2,026.90","2,046.20","2,022.20","","0.66%"
"03/16/2016","2,027.20","2,014.20","2,032.00","2,010.00","","0.56%"
"03/15/2016","2,015.90","2,015.30","2,015.90","2,005.20","","-0.18%"
"03/14/2016","2,019.60","2,019.30","2,024.60","2,012.00","","-0.13%"
"03/11/2016","2,022.20","1,994.70","2,022.40","1,994.70","","1.64%"
"03/10/2016","1,989.60","1,991.00","2,005.10","1,969.20","","0.02%"
