"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2016","5,512.40","5,488.70","5,531.90","5,488.70","709.48M","0.43%"
"07/20/2016","5,488.70","5,451.30","5,488.70","5,439.80","581.40M","0.69%"
"07/19/2016","5,451.30","5,458.50","5,466.40","5,432.80","505.05M","-0.13%"
"07/18/2016","5,458.50","5,429.60","5,462.30","5,428.90","402.77M","0.53%"
"07/15/2016","5,429.60","5,411.60","5,452.70","5,411.60","492.91M","0.33%"
"07/14/2016","5,411.60","5,388.50","5,416.00","5,386.00","489.13M","0.43%"
"07/13/2016","5,388.50","5,353.20","5,391.70","5,353.20","580.18M","0.66%"
"07/12/2016","5,353.20","5,337.10","5,391.90","5,337.10","575.94M","0.30%"
"07/11/2016","5,337.10","5,230.50","5,337.10","5,230.50","513.46M","2.04%"
"07/08/2016","5,230.50","5,227.90","5,238.30","5,217.40","447.48M","0.05%"
"07/07/2016","5,227.90","5,197.50","5,244.10","5,197.50","536.80M","0.58%"
"07/06/2016","5,197.50","5,228.00","5,228.00","5,148.70","629.90M","-0.58%"
"07/05/2016","5,228.00","5,281.80","5,282.30","5,221.10","519.43M","-1.02%"
"07/04/2016","5,281.80","5,246.60","5,281.80","5,218.50","513.02M","0.67%"
"07/01/2016","5,246.60","5,233.40","5,278.90","5,233.40","636.76M","0.25%"
"06/30/2016","5,233.40","5,142.40","5,247.60","5,142.40","747.25M","1.77%"
"06/29/2016","5,142.40","5,103.30","5,156.50","5,103.30","678.97M","0.77%"
"06/28/2016","5,103.30","5,137.20","5,137.20","5,051.10","814.40M","-0.66%"
"06/27/2016","5,137.20","5,113.20","5,154.90","5,051.00","676.74M","0.47%"
"06/24/2016","5,113.20","5,280.70","5,325.40","5,080.00","1.05B","-3.17%"
"06/23/2016","5,280.70","5,271.00","5,292.80","5,269.40","507.37M","0.19%"
"06/22/2016","5,270.90","5,274.40","5,297.80","5,259.30","517.96M","-0.07%"
"06/21/2016","5,274.40","5,256.80","5,290.00","5,252.30","604.34M","0.33%"
"06/20/2016","5,256.80","5,162.70","5,256.80","5,162.70","543.84M","1.82%"
"06/17/2016","5,162.70","5,146.00","5,178.40","5,146.00","1.02B","0.32%"
"06/16/2016","5,146.00","5,147.10","5,198.90","5,141.00","848.12M","-0.02%"
"06/15/2016","5,147.10","5,203.30","5,203.30","5,147.10","664.28M","-1.08%"
"06/14/2016","5,203.30","5,312.60","5,312.60","5,197.40","691.48M","-2.06%"
"06/10/2016","5,312.60","5,361.90","5,361.90","5,294.20","468.36M","-0.92%"
"06/09/2016","5,361.90","5,370.00","5,386.00","5,336.00","543.19M","-0.15%"
"06/08/2016","5,370.00","5,371.00","5,375.50","5,335.20","562.72M","-0.02%"
"06/07/2016","5,371.00","5,360.10","5,392.50","5,360.10","680.27M","0.20%"
"06/06/2016","5,360.40","5,318.90","5,374.90","5,317.10","529.04M","0.78%"
"06/03/2016","5,318.90","5,278.90","5,324.30","5,278.90","511.38M","0.76%"
"06/02/2016","5,278.90","5,323.20","5,327.80","5,270.90","564.82M","-0.83%"
"06/01/2016","5,323.20","5,378.60","5,378.60","5,306.30","589.01M","-1.03%"
"05/31/2016","5,378.60","5,408.00","5,408.00","5,365.30","949.51M","-0.54%"
"05/30/2016","5,408.00","5,405.90","5,415.00","5,391.50","434.85M","0.04%"
"05/27/2016","5,405.90","5,388.10","5,427.70","5,388.10","616.44M","0.33%"
"05/26/2016","5,388.10","5,372.50","5,402.70","5,354.10","584.35M","0.29%"
"05/25/2016","5,372.50","5,295.60","5,394.40","5,295.60","639.85M","1.45%"
"05/24/2016","5,295.60","5,318.90","5,324.00","5,295.60","534.37M","-0.44%"
"05/23/2016","5,318.90","5,351.30","5,364.60","5,297.50","522.85M","-0.61%"
"05/20/2016","5,351.30","5,323.30","5,366.00","5,320.30","525.24M","0.53%"
"05/19/2016","5,323.30","5,356.20","5,371.10","5,303.10","673.03M","-0.61%"
"05/18/2016","5,356.20","5,395.90","5,395.90","5,347.10","668.85M","-0.74%"
"05/17/2016","5,395.90","5,358.90","5,395.90","5,358.90","630.63M","0.69%"
"05/16/2016","5,358.90","5,329.00","5,371.10","5,319.80","490.33M","0.56%"
"05/13/2016","5,329.00","5,359.30","5,371.70","5,309.00","610.09M","-0.57%"
"05/12/2016","5,359.30","5,372.30","5,372.30","5,337.60","641.42M","-0.24%"
"05/11/2016","5,372.30","5,342.80","5,425.20","5,342.80","687.49M","0.55%"
"05/10/2016","5,342.80","5,320.70","5,343.20","5,288.40","726.90M","0.42%"
"05/09/2016","5,320.70","5,292.00","5,321.40","5,264.40","528.15M","0.54%"
"05/06/2016","5,292.00","5,281.60","5,292.00","5,200.30","708.67M","0.24%"
"05/05/2016","5,279.10","5,271.10","5,294.10","5,249.80","642.28M","0.15%"
"05/04/2016","5,271.10","5,353.80","5,353.80","5,271.10","711.33M","-1.54%"
"05/03/2016","5,353.80","5,243.00","5,357.00","5,217.40","704.72M","2.11%"
"05/02/2016","5,243.00","5,252.20","5,252.20","5,182.20","533.32M","-0.18%"
"04/29/2016","5,252.20","5,225.40","5,257.10","5,210.50","665.14M","0.51%"
"04/28/2016","5,225.40","5,187.70","5,239.30","5,187.70","668.37M","0.73%"
"04/27/2016","5,187.70","5,220.60","5,281.60","5,179.50","654.63M","-0.63%"
"04/26/2016","5,220.60","5,236.40","5,247.30","5,211.40","642.41M","-0.30%"
"04/22/2016","5,236.40","5,272.70","5,273.50","5,226.20","572.81M","-0.69%"
"04/21/2016","5,272.70","5,216.00","5,279.90","5,216.00","728.46M","1.09%"
"04/20/2016","5,216.00","5,188.80","5,232.70","5,188.80","663.18M","0.52%"
"04/19/2016","5,188.80","5,137.10","5,219.00","5,137.10","656.95M","1.01%"
"04/18/2016","5,137.10","5,157.50","5,157.60","5,118.50","587.61M","-0.40%"
"04/15/2016","5,157.50","5,118.50","5,157.50","5,111.70","533.29M","0.76%"
"04/14/2016","5,118.60","5,054.70","5,118.60","5,054.70","642.61M","1.26%"
"04/13/2016","5,054.70","4,975.60","5,054.70","4,975.60","606.62M","1.59%"
"04/12/2016","4,975.60","4,931.50","4,977.20","4,927.30","462.26M","0.89%"
"04/11/2016","4,931.50","4,937.60","4,943.20","4,910.80","461.54M","-0.12%"
