"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2021","22,635.27","22,468.90","22,710.58","22,395.11","393.48M","0.74%"
"10/12/2021","22,468.90","22,487.47","22,487.47","22,284.67","339.59M","-0.08%"
"10/11/2021","22,487.47","22,536.17","22,545.71","22,351.60","272.09M","-0.22%"
"10/08/2021","22,536.17","22,559.22","22,709.67","22,521.05","256.99M","-0.10%"
"10/07/2021","22,559.22","22,386.62","22,646.47","22,381.99","337.24M","0.77%"
"10/06/2021","22,386.62","22,730.65","22,730.65","22,246.04","331.94M","-1.51%"
"10/05/2021","22,730.65","22,654.92","22,803.99","22,650.94","274.97M","0.33%"
"10/04/2021","22,654.92","22,975.77","22,985.93","22,654.92","286.77M","-1.40%"
"10/01/2021","22,975.77","23,031.29","23,031.29","22,715.96","329.78M","-0.24%"
"09/30/2021","23,031.29","23,150.97","23,335.35","23,031.29","366.62M","-0.52%"
"09/29/2021","23,150.97","23,129.10","23,346.84","23,128.25","291.55M","0.09%"
"09/28/2021","23,129.10","23,608.63","23,636.12","23,129.10","346.75M","-2.03%"
"09/27/2021","23,608.63","23,608.79","23,800.89","23,596.04","300.72M","0.00%"
"09/24/2021","23,608.79","23,830.18","23,831.81","23,588.48","263.66M","-0.93%"
"09/23/2021","23,830.18","23,784.54","23,943.10","23,784.54","246.04M","0.19%"
"09/22/2021","23,784.54","23,611.39","23,842.36","23,535.07","241.92M","0.73%"
"09/21/2021","23,611.39","23,401.72","23,638.35","23,401.72","270.85M","0.90%"
"09/20/2021","23,401.72","23,658.94","23,660.45","23,261.16","332.16M","-1.09%"
"09/17/2021","23,658.94","23,632.84","23,792.28","23,591.90","818.67M","0.11%"
"09/16/2021","23,632.84","23,432.81","23,649.21","23,428.43","294.50M","0.85%"
"09/15/2021","23,432.81","23,687.26","23,691.24","23,432.81","290.97M","-1.07%"
"09/14/2021","23,687.26","23,775.73","23,832.18","23,682.15","301.83M","-0.37%"
"09/13/2021","23,775.73","23,733.56","23,840.54","23,731.33","259.61M","0.18%"
"09/10/2021","23,733.56","23,799.94","23,863.25","23,733.56","246.29M","-0.28%"
"09/09/2021","23,799.94","23,848.89","23,848.89","23,657.37","301.36M","-0.21%"
