"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2019","1,819.95","1,838.70","1,847.51","1,816.46","29.69M","-1.24%"
"07/02/2019","1,842.87","1,843.45","1,853.14","1,834.57","25.73M","-0.51%"
"07/01/2019","1,852.38","1,867.73","1,867.73","1,849.26","34.37M","-0.21%"
"06/28/2019","1,856.21","1,859.13","1,862.85","1,850.71","31.33M","-0.03%"
"06/27/2019","1,856.70","1,841.05","1,862.09","1,838.27","36.50M","0.87%"
"06/26/2019","1,840.70","1,837.80","1,845.85","1,834.08","29.59M","0.20%"
"06/25/2019","1,836.94","1,834.25","1,846.66","1,829.34","24.91M","-0.01%"
"06/24/2019","1,837.14","1,838.64","1,844.69","1,834.29","23.06M","0.02%"
"06/21/2019","1,836.83","1,841.43","1,842.06","1,830.14","35.76M","-0.18%"
"06/20/2019","1,840.11","1,828.88","1,840.13","1,827.55","29.70M","0.29%"
"06/19/2019","1,834.84","1,829.11","1,836.70","1,826.35","35.31M","1.51%"
"06/18/2019","1,807.52","1,795.93","1,811.10","1,795.93","31.72M","0.49%"
"06/17/2019","1,798.66","1,795.13","1,807.33","1,790.11","28.52M","-0.07%"
"06/14/2019","1,799.87","1,798.63","1,808.05","1,790.29","30.73M","-0.24%"
"06/13/2019","1,804.29","1,814.20","1,817.49","1,788.87","48.42M","-0.90%"
"06/12/2019","1,820.61","1,824.79","1,830.99","1,814.93","27.84M","-0.32%"
"06/11/2019","1,826.41","1,815.10","1,829.64","1,813.24","30.93M","0.37%"
"06/10/2019","1,819.64","1,807.34","1,820.41","1,796.29","30.09M","1.45%"
"06/07/2019","1,793.62","1,790.09","1,803.18","1,780.05","34.08M","0.11%"
"06/05/2019","1,791.59","1,805.36","1,808.02","1,787.51","35.84M","0.17%"
"06/04/2019","1,788.63","1,791.25","1,793.77","1,781.89","31.74M","-0.34%"
"06/03/2019","1,794.70","1,755.07","1,797.41","1,752.81","42.44M","1.89%"
"05/31/2019","1,761.47","1,752.89","1,771.72","1,746.77","40.15M","-0.10%"
"05/30/2019","1,763.22","1,745.56","1,765.44","1,745.56","32.93M","1.14%"
"05/29/2019","1,743.31","1,758.34","1,758.34","1,734.35","47.67M","-1.20%"
"05/28/2019","1,764.43","1,763.56","1,775.14","1,754.69","76.20M","0.01%"
"05/27/2019","1,764.25","1,763.17","1,774.86","1,755.82","25.66M","-0.06%"
"05/24/2019","1,765.26","1,769.15","1,778.52","1,755.33","34.86M","-0.87%"
"05/23/2019","1,780.71","1,779.03","1,785.42","1,767.69","34.04M","0.01%"
"05/22/2019","1,780.61","1,782.99","1,787.19","1,760.95","31.35M","0.19%"
"05/21/2019","1,777.20","1,770.55","1,795.60","1,767.43","42.02M","0.54%"
"05/20/2019","1,767.62","1,770.35","1,783.43","1,762.81","34.65M","0.44%"
"05/17/2019","1,759.79","1,784.43","1,784.66","1,756.81","37.81M","-0.67%"
"05/16/2019","1,771.68","1,799.13","1,799.92","1,766.70","40.10M","-1.44%"
"05/15/2019","1,797.50","1,793.45","1,809.76","1,788.98","31.42M","0.18%"
"05/14/2019","1,794.33","1,777.60","1,807.53","1,774.48","37.43M","-0.12%"
"05/13/2019","1,796.54","1,800.24","1,814.33","1,795.76","29.02M","-1.03%"
"05/10/2019","1,815.30","1,823.73","1,833.01","1,800.40","42.11M","0.38%"
"05/09/2019","1,808.36","1,860.03","1,865.81","1,808.36","61.79M","-3.27%"
"05/08/2019","1,869.46","1,855.54","1,881.54","1,855.54","33.46M","-0.53%"
"05/07/2019","1,879.36","1,876.16","1,881.26","1,863.10","37.40M","-0.69%"
"05/03/2019","1,892.46","1,905.15","1,907.35","1,889.54","29.52M","-0.83%"
"05/02/2019","1,908.25","1,890.48","1,913.78","1,889.03","30.71M","0.37%"
"04/30/2019","1,901.19","1,909.67","1,912.43","1,886.33","34.31M","-0.73%"
"04/29/2019","1,915.08","1,880.83","1,915.08","1,880.33","29.57M","2.08%"
"04/26/2019","1,876.06","1,871.04","1,884.38","1,865.20","35.42M","-0.53%"
"04/25/2019","1,886.11","1,884.73","1,896.55","1,878.37","37.90M","-0.34%"
"04/24/2019","1,892.49","1,920.33","1,920.33","1,879.06","43.85M","-0.94%"
"04/23/2019","1,910.53","1,905.47","1,913.54","1,904.83","24.35M","0.20%"
"04/22/2019","1,906.68","1,906.84","1,917.36","1,897.53","21.29M","0.03%"
"04/19/2019","1,906.20","1,915.28","1,917.95","1,905.52","24.09M","0.04%"
"04/18/2019","1,905.45","1,940.85","1,942.56","1,902.20","37.27M","-1.59%"
"04/17/2019","1,936.17","1,939.02","1,942.96","1,933.13","25.42M","-0.13%"
"04/16/2019","1,938.76","1,926.69","1,938.83","1,925.65","31.01M","0.60%"
"04/15/2019","1,927.23","1,928.01","1,937.91","1,925.46","31.49M","0.38%"
"04/12/2019","1,919.99","1,909.80","1,922.62","1,903.60","28.36M","0.31%"
"04/11/2019","1,914.07","1,920.74","1,922.58","1,906.27","40.85M","-0.24%"
"04/10/2019","1,918.71","1,901.13","1,919.22","1,898.79","37.04M","0.39%"
"04/09/2019","1,911.22","1,909.70","1,919.19","1,901.82","29.20M","0.12%"
"04/08/2019","1,908.95","1,917.34","1,917.34","1,899.10","29.55M","-0.07%"
"04/05/2019","1,910.37","1,906.14","1,918.63","1,904.84","27.02M","0.18%"
"04/04/2019","1,906.99","1,899.87","1,918.65","1,898.72","35.22M","0.17%"
"04/03/2019","1,903.80","1,878.59","1,903.80","1,873.30","41.92M","1.51%"
"04/02/2019","1,875.42","1,872.71","1,880.28","1,870.33","33.01M","0.68%"
"04/01/2019","1,862.74","1,851.95","1,867.23","1,851.95","31.08M","1.39%"
"03/29/2019","1,837.13","1,837.83","1,840.80","1,824.18","40.30M","0.29%"
"03/28/2019","1,831.85","1,829.26","1,838.81","1,823.34","27.45M","-0.76%"
"03/27/2019","1,845.84","1,842.45","1,852.26","1,827.50","28.63M","-0.16%"
"03/26/2019","1,848.77","1,856.43","1,857.07","1,844.98","31.23M","-0.10%"
"03/25/2019","1,850.60","1,861.12","1,861.64","1,848.78","32.77M","-2.12%"
"03/22/2019","1,890.63","1,895.46","1,898.97","1,883.55","74.60M","0.41%"
"03/21/2019","1,882.88","1,867.37","1,894.28","1,867.37","52.42M","1.46%"
"03/20/2019","1,855.74","1,846.14","1,856.53","1,829.92","29.11M","0.13%"
"03/19/2019","1,853.29","1,854.16","1,855.34","1,843.41","24.44M","0.03%"
"03/18/2019","1,852.71","1,855.86","1,859.88","1,846.15","25.32M","-0.10%"
"03/15/2019","1,854.58","1,832.30","1,857.75","1,831.63","56.11M","1.14%"
"03/14/2019","1,833.63","1,835.08","1,839.91","1,820.76","48.90M","0.16%"
"03/13/2019","1,830.61","1,838.17","1,839.15","1,816.95","27.44M","-0.78%"
"03/12/2019","1,845.00","1,840.99","1,850.71","1,838.29","30.94M","1.11%"
"03/11/2019","1,824.76","1,830.76","1,836.16","1,819.54","30.50M","0.00%"
"03/08/2019","1,824.68","1,840.34","1,846.23","1,824.64","31.54M","-1.46%"
"03/07/2019","1,851.65","1,850.66","1,866.42","1,842.44","34.61M","-0.20%"
"03/06/2019","1,855.36","1,855.32","1,856.70","1,847.43","35.19M","-0.11%"
"03/05/2019","1,857.36","1,866.16","1,869.63","1,852.36","34.47M","-0.82%"
"03/04/2019","1,872.81","1,901.85","1,904.23","1,870.47","46.36M","-0.60%"
"02/28/2019","1,884.17","1,910.57","1,912.16","1,884.17","62.33M","-1.68%"
"02/27/2019","1,916.39","1,918.04","1,922.93","1,913.24","32.57M","0.27%"
"02/26/2019","1,911.29","1,916.14","1,920.84","1,904.96","31.23M","-0.46%"
"02/25/2019","1,920.08","1,927.74","1,928.63","1,911.25","26.85M","0.01%"
"02/22/2019","1,919.80","1,909.10","1,919.80","1,903.13","27.54M","0.06%"
